[1,1,1,14,9,9,9,9,9,9,9,9,9,9,13,1,20,4,4,1,1,1,4,20,4]
[19,19,4,5,2,2,2,2,2,2,2,2,2,2,10,6,4,4,20,6,4,4,4,1,4]
[20,4,1,5,2,16,8,8,8,8,8,8,12,2,10,6,14,9,9,9,9,9,13,4,4]
[4,20,4,5,2,11,9,9,9,13,19,6,5,2,10,3,5,2,2,2,2,2,10,4,20]
[4,1,20,5,2,2,2,2,2,10,4,20,5,2,10,6,5,2,16,8,12,2,10,1,19]
[4,20,19,15,8,8,8,12,2,10,6,6,5,2,10,6,5,2,10,3,5,2,10,6,4]
[9,9,9,13,6,6,6,5,2,10,4,1,5,2,10,6,5,2,10,3,5,2,11,9,9]
[2,2,2,10,1,1,1,5,2,10,6,6,5,2,10,4,5,2,10,3,5,2,2,2,2]
[8,12,2,10,4,6,6,5,2,10,4,1,5,2,10,6,5,2,10,3,15,8,8,8,8]
[4,5,2,10,1,3,1,5,2,10,4,22,5,2,10,6,5,2,10,6,4,4,6,6,1]
[4,5,2,10,4,1,20,5,2,10,6,1,5,2,10,6,5,2,11,9,9,9,13,6,1]
[20,5,2,10,4,6,1,5,2,10,20,6,5,2,10,6,5,2,2,2,2,2,10,20,1]
[19,5,2,10,6,1,3,5,2,10,6,1,5,2,10,6,15,8,8,8,12,2,10,6,1]
[4,5,2,10,1,6,1,5,2,10,20,6,5,2,10,21,20,4,1,7,5,2,10,4,19]
[4,5,2,11,9,9,9,18,2,10,19,1,5,2,11,9,9,9,9,9,18,2,10,4,4]
[20,5,2,2,2,2,2,2,2,10,20,4,5,2,2,2,2,2,2,2,2,2,10,4,19]
[4,15,8,8,8,8,8,8,8,17,4,4,15,8,8,8,8,8,8,8,8,8,17,20,4]
[1,4,4,19,4,4,20,20,4,4,1,1,4,20,4,4,20,4,4,4,19,4,4,1,20]


